name,price(USD),rating,image,price(NGN)
Samsung Serif LS01B 4K QLED Smart TV QA43LS01BAWXXY,882.09,100,https://i.ebayimg.com/thumbs/images/g/J40AAOSw-NpkHsRz/s-l140.jpg,1312550
"BRAND NEW Insignia™ - 50"" Class F30 Series LED UHD Smart Fire TV Edition",599.89,100,https://i.ebayimg.com/thumbs/images/g/LCIAAOSwsZ5lFPrx/s-l140.jpg,892636
Broken Samsung  TV - TUN50CU8000 UHD 50in 4K HDR Smart LED TV - Black,100.0,33.3,https://i.ebayimg.com/thumbs/images/g/RxwAAOSwNaJlC51y/s-l140.jpg,148800
"Samsung 32"" Full HD Smart TV UN32ES6500F, HDMI, LAN, 60Hz In Black Color",160.02,98.5,https://i.ebayimg.com/thumbs/images/g/0PcAAOSwIHNmFA7s/s-l140.jpg,238110
Samsung Color Display Unit 24” OH24E Smart Signage Outdoor Display | #R99,999.0,98.7,https://i.ebayimg.com/thumbs/images/g/rvEAAOSw1uBj7Civ/s-l140.jpg,1486512
"Samsung TV 17""",45.0,0,https://i.ebayimg.com/thumbs/images/g/ldQAAOSwo5Rj4Azc/s-l140.jpg,66960
"Samsung HQ50A/NJ690W HG32NJ690WF 32"" Class Smart LED-LCD Hospitality TV",412.49,98.8,https://i.ebayimg.com/thumbs/images/g/aZYAAOSwmuZmWPy8/s-l140.jpg,613785
"SAMSUNG 32"" QN32LS03BBFXZA QLED LS03B Series The Frame Quantum *FOR PARTS ONLY*",249.99,99.7,https://i.ebayimg.com/thumbs/images/g/XfMAAOSwBx5l8gtB/s-l140.jpg,371985
Samsung smart tv model UN 40 D600,44.99,96.8,https://i.ebayimg.com/thumbs/images/g/-usAAOSwJqNls9NY/s-l140.jpg,66945
"samsung smart tv mother board,power supply and speaker 58""",58.38,0,https://i.ebayimg.com/thumbs/images/g/osQAAOSwTndkKfZs/s-l140.jpg,86869
"Insignia NS-24F201NA23 24"" Smart HD 720p TV With Built In Fire TV I Best Seller",196.99,100,https://i.ebayimg.com/thumbs/images/g/KlIAAOSwJIdhBOdf/s-l140.jpg,293121
TV Speaker Set Samsung UN50J6200AFXZA,12.95,99.3,https://i.ebayimg.com/thumbs/images/g/jEMAAOSwTzVcp6On/s-l140.jpg,19270
INSIGNIA NS-24F201NA23 All-New 24-inch Class F20 Series Smart HD 720p Fire TV,199.97,100,https://i.ebayimg.com/thumbs/images/g/4LcAAOSwSxxhBOdj/s-l140.jpg,297555
⭐️⭐️⭐️⭐️⭐️ TV Speaker Set Samsung PN51F8500AFXZA,16.99,99.3,https://i.ebayimg.com/thumbs/images/g/F6wAAOSw1Iplce5S/s-l140.jpg,25281
TV Speaker Set Samsung UN55MU6300F,22.5,99.3,https://i.ebayimg.com/thumbs/images/g/0EYAAOSwUPpcfsH1/s-l140.jpg,33480
Samsung 82TU700D UN82TU7000 Tv Stand With Out Screws,49.0,97.1,https://i.ebayimg.com/thumbs/images/g/YpUAAOSwZXRfNOOD/s-l140.jpg,72912
"Charging Dock Replacement for Switch & Charger for Switch OLED Joy Cons, Chargin",30.22,98.5,https://i.ebayimg.com/thumbs/images/g/D~gAAOSwv6ll~96e/s-l140.jpg,44967
"SAMSUNG GQ65QN800B Neo QLED TV (Flat, 65-Inch / 163cm, UHD 8K, SMART TV",912.08,99.3,https://i.ebayimg.com/thumbs/images/g/0j8AAOSwVHBlbekq/s-l140.jpg,1357175
"Samsung UE32T4305AK, 81.3cm (32""), 1366 x 768 Pixels, LED, Smart TV, Wi-Fi, Schwa",277.72,100,https://i.ebayimg.com/thumbs/images/g/rjQAAOSw-k9mYc5Q/s-l140.jpg,413247
REMOTE CONTROL for SAMSUNG AA59-00602A BN59-001175N TM1240A LED SMART TV,8.53,98.9,https://i.ebayimg.com/thumbs/images/g/N5sAAOSwPhdVTgGh/s-l140.jpg,12693
"Insignia™ - 43"" Class F30 Series  LED 4K UHD Smart Fire TV",489.95,100,https://i.ebayimg.com/thumbs/images/g/eREAAOSwIm9lFPSM/s-l140.jpg,729046
